tconst	averageRating	numVotes
tt0000149	5.1	11
tt0000150	5.2	113
tt0000151	5.2	33
tt0000152	6.1	181
tt0000153	5.7	344
tt0000154	4.6	8
tt0000155	5.2	14
tt0000156	4.6	12
tt0000157	4.1	8
tt0000158	3.5	8
tt0000159	5.3	71
tt0000160	5.2	9
tt0000161	3.9	8
tt0000162	5.3	399
tt0000163	4.5	6
tt0000164	5.0	231
tt0000165	5.0	92
tt0000166	4.1	7
tt0000167	4.1	104
tt0000168	3.4	7
tt0000169	4.0	20
tt0000170	5.2	187
tt0000171	4.3	6
tt0000172	6.1	690
tt0000173	4.7	18
tt0000174	4.7	106
tt0000175	5.0	166
tt0000176	5.1	7
tt0000177	4.6	192
tt0000178	5.1	107
tt0000179	4.6	24
tt0000181	6.7	37
tt0000182	4.9	471
tt0000183	6.2	18
tt0000184	4.8	263
tt0000186	4.2	12
tt0000187	5.3	36
tt0000188	4.6	7
tt0000190	5.0	117
tt0000192	4.5	138
tt0000194	5.5	66
tt0000196	5.2	20
tt0000197	4.7	11
tt0000198	5.0	10
tt0000199	4.9	7
tt0000204	5.7	7
tt0000205	5.3	20
tt0000206	5.0	7
tt0000207	5.9	7
tt0000208	5.7	471
tt0000209	4.9	17
tt0000210	5.3	18
tt0000211	7.5	3411
tt0000213	4.5	187
tt0000214	4.6	61
tt0000215	4.1	102
tt0000218	5.9	502
tt0000219	6.7	23
tt0000222	4.6	187
tt0000223	5.4	11
tt0000225	5.1	18
tt0000228	4.8	220
tt0000229	4.5	82
tt0000230	6.5	1356
tt0000231	3.5	8
tt0000234	6.1	38
tt0000235	6.2	585
tt0000239	5.4	191
tt0000240	4.3	51
tt0000242	6.3	932
tt0000245	6.1	25
tt0000246	6.4	910
tt0000247	4.9	409
tt0000248	6.0	1342
tt0000251	5.5	92
tt0000253	4.6	18
tt0000256	4.6	130
tt0000261	5.7	47
tt0000264	5.7	358
tt0000265	4.3	100
tt0000269	4.9	100
tt0000271	6.4	7
tt0000272	5.6	688
tt0000273	5.5	490
tt0000274	5.6	192
tt0000276	6.9	9
tt0000277	6.2	48
tt0000278	5.6	7
tt0000279	4.3	7
tt0000280	4.6	7
tt0000281	5.3	7
tt0000283	5.8	12
tt0000284	5.3	180
tt0000285	5.3	7
tt0000286	5.6	181
tt0000287	4.9	123
tt0000288	5.3	161
tt0000292	5.3	68
tt0000296	5.8	208
tt0000299	5.5	186
tt0000300	6.9	1057
tt0000301	4.4	320
tt0000302	5.1	146
